id.1	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h-1	100uM-K99A-24h-1	10uM-K99A-24h-1	10uM-PCC-24h-1	No-Peptide-24h-1	0-1uM-PCC-24h-0-5uM-MEKi-2	0-1uM-PCC-24h-2	100uM-K99A-24h-0-5uM-MEKi-2	100uM-K99A-24h-2	10uM-K99A-24h-0-5uM-MEKi-2	10uM-K99A-24h-2	10uM-PCC-24h-0-5uM-MEKi-2	10uM-PCC-24h-2	No-Peptide-24h-0-5uM-MEKi-2	No-Peptide-24h-2	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h	gene_name
NM_007719	chr11	99144199	99155077	-	1970.0	1	Ccr7|CD197|Cdw197|Cmkbr7|EBI1|Ebi1h|RP23-80N1.2|11 D|11|protein-coding	1850.902	2340.601	1990.11	1843.761	511.798	1429.939	1481.66	1416.912	1509.54	592.722	732.909	1510.0510000000004	1776.672	291.376	491.38	501.589	1361.5095	1925.0705	1666.281	1810.2165	Ccr7
NM_013650	chr3	90669071	90670034	+	387.0	1	S100a8|60B8Ag|AI323541|B8Ag|CFAg|CP-10|Caga|MRP8|p8|-|3 F1-F2|3 39.9 cM|protein-coding	1787.2020000000002	3671.484	4546.153	974.863	11498.646	2788.575	4380.011	8813.124	4208.6590000000015	16027.083	14762.925	1961.353	1006.982	20293.184	18656.974	15077.81	9654.539	3940.0715000000014	3083.6065	990.9225	S100a8
NR_030547	chr2	122640803	122640881	+	78.0	1	Mir147|Mirn147|mmu-mir-147|-|2|2|ncRNA	68.235	359.57	493.412	72.72399999999998	51.699	45.365	102.485	232.776	119.451	96.85	134.752	67.04899999999999	43.04	39.94300000000001	73.502	62.6005	314.082	239.5105	85.36	57.88199999999999	Mir147
NM_133664	chr1	135818598	135833341	+	2980.0	1	Lad1|-|-|1 E4|1|protein-coding	397.829	665.5880000000002	668.03	409.799	78.503	240.558	300.312	381.579	310.521	120.653	169.0	262.472	299.81	18.275	27.697	53.1	418.515	488.0545	349.0705000000001	354.8045	Lad1
NM_001271431	chr2	93419102	93462950	-	1614.0	1	Cd82|AA682076|AL023070|C33|IA4|Kai1|Tspan27|RP23-70K10.2|2 E1|2 51.62 cM|protein-coding	214.265	376.6	498.798	245.256	127.583	134.705	201.608	256.338	212.501	138.80100000000002	195.98	152.19799999999995	184.668	86.82700000000001	87.089	107.336	347.389	294.5505	207.9365	214.96200000000002	Cd82
NM_001004174	chr2	122637887	122641076	+	633.0	1	AA467197|Nmes1|RP23-101F14.3|2 E5|2|protein-coding	43.828	271.577	340.827	61.01600000000001	51.944	31.341	82.679	141.749	83.49	63.477	99.471	36.207	40.74800000000001	49.908	39.508	45.726000000000006	220.149	177.5335	63.2535	50.88200000000001	AA467197
NM_010106	chr9	78478454	78481724	-	1779.0	1	Eef1a1|-|-|9 E1|9|protein-coding	1716.761	1680.436	1644.819	1570.7820000000004	958.314	1314.65	1276.002	1143.905	1271.623	649.55	787.797	1358.111	1350.415	498.84	537.4680000000002	747.8910000000002	1216.308	1476.0295	1496.3815	1460.5985	Eef1a1
NM_008655	chr10	80930091	80932204	+	1260.0	1	Gadd45b|AI323528|Myd118|-|10 C1|10 39.72 cM|protein-coding	602.5419999999998	807.8710000000002	669.416	557.9540000000002	143.97899999999996	218.22	251.421	251.113	253.84	83.988	107.342	231.46	302.182	49.206	70.41	107.1945	388.379	530.8555	426.9815	430.068	Gadd45b
NM_010907	chr12	55489409	55492647	-	1571.0	1	Nfkbia|AI462015|Nfkbi|-|12|12 C1-C3|protein-coding	578.494	707.828	711.297	571.7819999999998	253.199	384.528	420.598	460.679	427.772	255.229	283.2390000000001	399.054	434.79	150.681	175.328	214.2635	497.268	567.8	499.54600000000005	503.286	Nfkbia
NM_027739	chr10	127165831	127172340	+	2271.0	1	B4galnt1|4933429D13Rik|Gal-NAc-T|GalNAc-T|GalNAcT|Galgt1|Ggm-2|Ggm2|-|10 D3|10 74.5 cM|protein-coding	426.165	491.649	585.988	363.196	219.774	296.6040000000001	354.356	382.394	356.797	208.16	259.027	309.376	353.374	120.04	121.525	170.6495	422.50750000000005	424.223	390.2605	358.285	B4galnt1
