chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide
chr17	18	28625357	23609	0.0	0.0	0.0	21170.0	23609.0	28624729	0.0	0.0	0.0	22.5	22.5
chr10	9	128756247	27602	0.0	0.0	0.0	25891.0	27602.0	128755747	0.0	0.0	0.0	15.0	15.0
chr11	13	106353118	17237	0.0	0.0	0.0	17237.0	19981.0	106351726	0.0	0.0	0.0	31.8	31.7
chr3	4	115679822	23197	0.0	0.0	0.0	23197.0	25325.0	115679322	0.0	0.0	0.0	18.5	18.4
chr3	4	126834604	23199	0.0	0.0	0.0	23199.0	25328.0	126833976	0.0	0.0	0.0	18.5	18.4
chr10	9	60826174	31852	0.0	0.0	0.0	31852.0	31977.0	60825674	0.0	0.0	0.0	9.24	9.18
chr17	18	84852454	32062	0.0	0.0	0.0	32062.0	32110.0	84851954	0.0	0.0	0.0	9.24	9.18
chr2	2	84633647	22098	0.0	0.0	0.0	22098.0	24441.0	84633147	0.0	0.0	0.0	20.2	20.0
chr12	15	33380270	22414	0.0	0.0	0.0	20027.0	22414.0	33379770	0.0	0.0	0.0	24.8	25.0
chr6	7	99249590	20435	0.0	0.0	0.0	20435.0	23003.0	99248698	0.0	0.0	0.0	23.7	23.4
chr12	15	107909453	26355	0.0	0.0	0.0	26355.0	28177.0	107908953	0.0	0.0	0.0	14.4	14.2
chr11	13	78062021	27849	0.0	0.0	0.0	27849.0	29516.0	78061521	0.0	0.0	0.0	12.7	12.5
chr12	15	116468137	27892	0.0	0.0	0.0	27892.0	29594.0	116467509	0.0	0.0	0.0	12.7	12.5
chr17	18	27815374	27990	0.0	0.0	0.0	27990.0	29769.0	27814874	0.0	0.0	0.0	12.7	12.5
chr3	4	130894847	25774	0.0	0.0	0.0	23938.0	25774.0	130894347	0.0	0.0	0.0	17.3	17.5
chr3	4	60615591	25762	0.0	0.0	0.0	23923.0	25762.0	60615091	0.0	0.0	0.0	17.3	17.5
chr7	8	68221872	29279	0.0	0.0	0.0	29279.0	30759.0	68221092	0.0	0.0	0.0	11.0	10.8
chr16	17	20144816	22746	0.0	0.0	0.0	22746.0	25174.0	20144182	0.0	0.0	0.0	19.6	19.2
chr2	2	65342347	23524	0.0	0.0	0.0	23524.0	25737.0	65341847	0.0	0.0	0.0	17.9	17.5
chr5	6	77048246	31228	0.0	0.0	0.0	30736.0	31228.0	77047600	0.0	0.0	0.0	9.82	10.0
chr8	10	95154896	31389	0.0	0.0	0.0	30921.0	31389.0	95154250	0.0	0.0	0.0	9.82	10.0
chr15	16	80531667	11977	0.0	0.0	0.0	11977.0	15572.0	80530145	0.0	0.0	0.0	49.1	47.6
chr7	8	16821445	17853	0.0	0.0	0.0	15219.0	17853.0	16820377	0.0	0.0	0.0	37.5	38.4
chr15	16	85410132	28400	0.0	0.0	0.0	28400.0	30450.0	85409458	0.0	0.0	0.0	12.1	11.7
chr14	11	121322638	28374	0.0	0.0	0.0	28374.0	30424.0	121322006	0.0	0.0	0.0	12.1	11.7
chr13	14	43775559	21122	0.0	0.0	0.0	21122.0	23909.0	43775059	0.0	0.0	0.0	22.5	21.7
chr16	17	95381570	32798	0.0	0.0	0.0	32798.0	32587.0	95380938	0.0	0.0	0.0	8.66	8.34
chrX	3	50614709	32877	0.0	0.0	0.0	32877.0	32679.0	50614209	0.0	0.0	0.0	8.66	8.34
chr16	17	16996202	32771	0.0	0.0	0.0	32771.0	32575.0	16995702	0.0	0.0	0.0	8.66	8.34
chr11	13	6324182	20242	0.0	0.0	0.0	20242.0	23097.0	6323504	0.0	0.0	0.0	24.3	23.4
chr1	1	55020803	25248	0.0	0.0	0.0	23496.0	25248.0	55020303	0.0	0.0	0.0	17.9	18.4
chr4	5	129750783	25208	0.0	0.0	0.0	25208.0	27344.0	129750283	0.0	0.0	0.0	15.6	15.0
chr1	1	52392751	29699	0.0	0.0	0.0	29699.0	31034.0	52392077	0.0	0.0	0.0	10.4	10.0
chr19	21	57327806	30458	0.0	0.0	0.0	30458.0	31719.0	57327168	0.0	0.0	0.0	10.4	10.0
chr15	16	93975032	32570	0.0	0.0	0.0	33750.0	32570.0	93974532	0.0	0.0	0.0	8.09	8.34
chr13	14	56675611	32515	0.0	0.0	0.0	33642.0	32515.0	56675111	0.0	0.0	0.0	8.09	8.34
chr17	18	29838185	32606	0.0	0.0	0.0	33806.0	32606.0	29837685	0.0	0.0	0.0	8.09	8.34
chr14	11	64183116	32539	0.0	0.0	0.0	33685.0	32539.0	64182616	0.0	0.0	0.0	8.09	8.34
chr6	7	99412664	26616	0.0	0.0	0.0	26616.0	28572.0	99412164	0.0	0.0	0.0	13.9	13.3
chr1	1	162576809	26488	0.0	0.0	0.0	26488.0	28378.0	162576157	0.0	0.0	0.0	13.9	13.3
chr11	13	75137776	18330	0.0	0.0	0.0	18330.0	21434.0	75136728	0.0	0.0	0.0	28.9	27.5
chr16	17	30535609	22377	0.0	0.0	0.0	22377.0	25177.0	30535109	0.0	0.0	0.0	20.2	19.2
chr1	1	138838698	21229	0.0	0.0	0.0	21229.0	24029.0	138838070	0.0	0.0	0.0	22.0	20.9
chr4	5	149871998	21301	0.0	0.0	0.0	21301.0	24110.0	149871374	0.0	0.0	0.0	22.0	20.9
