chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide
chr10	9	128149897	31470	32280.0	0.0	29946.0	0.0	31470.0	128149397	9.88	0.0	10.0	0.0	10.0
chr1	1	160008655	20755	21645.0	0.0	20755.0	0.0	21583.0	160008015	26.6	0.0	26.9	0.0	26.7
chr16	17	51498056	29743	29875.0	0.0	28136.0	0.0	29743.0	51497556	12.3	0.0	12.3	0.0	12.5
chr9	12	124426549	21071	21040.0	0.0	20661.0	0.0	21071.0	124425345	28.4	0.0	27.4	0.0	28.4
chr3	4	153261519	14297	15084.0	0.0	14297.0	0.0	14497.0	153259999	50.0	0.0	52.0	0.0	51.7
chr9	12	123520729	8624	9311.0	0.0	8777.0	0.0	8624.0	123519225	81.5	0.0	84.4	0.0	85.1
chr18	20	67213314	11531	11872.0	0.0	11531.0	0.0	12035.0	67211998	66.1	0.0	66.6	0.0	64.2
chr2	2	6379186	27416	29372.0	0.0	27416.0	0.0	29033.0	6378686	12.3	0.0	12.8	0.0	12.5
chr13	14	112999670	15033	15944.0	0.0	15033.0	0.0	15562.0	112998210	46.9	0.0	48.8	0.0	47.6
chr1	1	180548486	20078	20156.0	0.0	20301.0	0.0	20078.0	180547710	30.9	0.0	28.3	0.0	30.9
chr10	9	116553050	28730	29702.0	0.0	27263.0	0.0	28730.0	116552550	12.3	0.0	13.2	0.0	13.3
chr7	8	101538596	11671	12589.0	0.0	12013.0	0.0	11671.0	101537390	61.7	0.0	63.9	0.0	65.9
chr1	1	54334097	26647	27418.0	0.0	25721.0	0.0	26647.0	54333461	14.8	0.0	15.5	0.0	15.9
chr1	1	55958149	28359	28359.0	0.0	27383.0	0.0	28352.0	55957649	13.6	0.0	12.8	0.0	13.3
chr6	7	84617639	13939	15264.0	0.0	14015.0	0.0	13939.0	84616143	49.4	0.0	53.4	0.0	54.2
chr7	8	4614472	17130	18586.0	0.0	17130.0	0.0	17594.0	4613424	36.4	0.0	39.7	0.0	39.2
chr9	12	112207958	22035	22942.0	0.0	21304.0	0.0	22035.0	112207458	23.5	0.0	25.5	0.0	25.9
chr13	14	56222329	33790	33790.0	0.0	31791.0	0.0	32513.0	56221829	8.64	0.0	8.21	0.0	8.34
chr9	12	117872609	21405	22440.0	0.0	20845.0	0.0	21405.0	117871735	24.7	0.0	26.9	0.0	27.5
chr9	12	21221272	17163	18070.0	0.0	17471.0	0.0	17163.0	21220772	38.3	0.0	38.3	0.0	40.9
chr4	5	53385092	29145	30592.0	0.0	27875.0	0.0	29145.0	53384592	11.1	0.0	12.3	0.0	12.5
chr11	13	83789944	18985	18985.0	0.0	18739.0	0.0	19413.0	83788866	35.2	0.0	33.8	0.0	33.4
chr7	8	68226209	21676	21706.0	0.0	22115.0	0.0	21676.0	68225429	26.6	0.0	23.3	0.0	26.7
chr16	17	4476098	5883	5883.0	0.0	7076.0	0.0	5864.0	4474434	110.5	0.0	98.1	0.0	109.3
chr1	1	183178518	31110	31110.0	0.0	29659.0	0.0	31069.0	183178018	10.5	0.0	10.0	0.0	10.0
chr17	18	47864980	23826	25098.0	0.0	23826.0	0.0	25647.0	47864480	19.1	0.0	19.6	0.0	18.4
chr7	8	79301278	12668	13322.0	0.0	12668.0	0.0	13438.0	79299760	58.0	0.0	60.2	0.0	56.7
chr3	4	107098580	23020	24553.0	0.0	23020.0	0.0	24474.0	107098080	19.8	0.0	21.0	0.0	20.0
chr3	4	96486309	30956	34103.0	0.0	30956.0	0.0	32242.0	96485673	8.03	0.0	8.67	0.0	8.34
chr12	15	83859825	33370	35202.0	0.0	33370.0	0.0	32844.0	83859325	6.17	0.0	6.84	0.0	6.67
chr2	2	35496808	5637	6444.0	0.0	6632.0	0.0	5637.0	35495400	104.3	0.0	101.7	0.0	111.0
chr6	7	120256499	28985	28985.0	0.0	28294.0	0.0	29275.0	120255999	13.0	0.0	11.9	0.0	12.5
chr13	14	93355819	25576	25732.0	0.0	25631.0	0.0	25576.0	93355169	17.9	0.0	16.0	0.0	18.4
chr11	13	72430012	24064	24064.0	0.0	24667.0	0.0	24228.0	72429236	21.0	0.0	17.8	0.0	20.9
chr12	15	109058445	26996	28678.0	0.0	26996.0	0.0	29586.0	109057761	13.6	0.0	13.7	0.0	12.5
chr14	11	40923322	33812	33812.0	0.0	32504.0	0.0	32529.0	40922822	8.64	0.0	7.76	0.0	8.34
chr11	13	53129687	22966	22966.0	0.0	22891.0	0.0	23497.0	53128923	23.5	0.0	21.4	0.0	22.5
chr4	5	46375610	22855	22855.0	0.0	22266.0	0.0	23728.0	46374972	23.5	0.0	22.8	0.0	21.7
chr9	12	103092673	19136	19331.0	0.0	20213.0	0.0	19136.0	103092035	34.0	0.0	28.7	0.0	34.2
chr18	20	34247929	22167	22774.0	0.0	22203.0	0.0	22167.0	34246951	24.1	0.0	23.3	0.0	25.9
chr8	10	94704811	3217	3388.0	0.0	4813.0	0.0	3217.0	94702525	145.1	0.0	120.4	0.0	145.2
chr1	1	155722911	29914	31100.0	0.0	28847.0	0.0	29914.0	155722411	10.5	0.0	10.9	0.0	11.7
chr6	7	29170598	30079	31293.0	0.0	28942.0	0.0	30079.0	29170098	10.5	0.0	10.9	0.0	11.7
chr10	9	94546564	8544	8544.0	0.0	8779.0	0.0	9371.0	94544938	87.1	0.0	84.4	0.0	80.1
chr7	8	99605163	29316	31369.0	0.0	27950.0	0.0	29316.0	99604663	10.5	0.0	12.3	0.0	12.5
chr11	13	58961397	4999	4999.0	31480.0	5035.0	0.0	5280.0	58958675	120.4	7.92	117.7	0.0	115.1
chr8	10	124076638	25853	28580.0	0.0	25853.0	0.0	27508.0	124076014	13.6	0.0	15.5	0.0	15.0
chr1	1	13372997	11762	12212.0	0.0	13713.0	0.0	11762.0	13371975	63.6	0.0	54.7	0.0	65.1
chr13	14	23447395	5193	5449.0	0.0	5193.0	0.0	6288.0	23444971	114.8	0.0	116.3	0.0	105.1
chr8	10	106574579	30194	32153.0	0.0	28658.0	0.0	30194.0	106574079	9.88	0.0	11.4	0.0	11.7
chr4	5	152132195	21959	22622.0	0.0	22274.0	0.0	21959.0	152131695	24.1	0.0	22.8	0.0	25.9
chr6	7	87399850	14832	14832.0	0.0	16221.0	0.0	14911.0	87398728	51.2	0.0	43.3	0.0	50.1
